attendance_id,employee_id,attendance_month,month_start_date,working_days,days_present,days_absent,annual_leave_days,sick_leave_days,unpaid_leave_days,other_leave_days,total_leave_days,late_arrivals,early_departures,overtime_hours,attendance_rate_pct
ATT-000001,EMP-0001,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000002,EMP-0003,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,2.5,100
ATT-000003,EMP-0005,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,0,100
ATT-000004,EMP-0006,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000005,EMP-0008,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,20.5,100
ATT-000006,EMP-0009,2025-01,1/1/2025,22,22,0,0,0,0,0,0,1,0,25.5,100
ATT-000007,EMP-0010,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000008,EMP-0014,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,0,100
ATT-000009,EMP-0015,2025-01,1/1/2025,22,22,0,0,0,0,0,0,6,0,23,100
ATT-000010,EMP-0016,2025-01,1/1/2025,22,14,0,8,0,0,0,8,0,2,0,63.64
ATT-000011,EMP-0017,2025-01,1/1/2025,22,20,2,0,0,0,0,0,0,1,18.5,90.91
ATT-000012,EMP-0018,2025-01,1/1/2025,22,22,0,0,0,0,0,0,2,0,0,100
ATT-000013,EMP-0019,2025-01,1/1/2025,22,21,0,0,0,0,1,1,0,0,0,95.45
ATT-000014,EMP-0020,2025-01,1/1/2025,22,22,0,0,0,0,0,0,0,0,11.5,100
ATT-000015,EMP-0021,2025-01,1/1/2025,22,19,0,0,3,0,0,3,0,0,23.5,86.36
ATT-000016,EMP-0022,2025-01,1/1/2025,22,22,0,0,0,0,0,0,3,0,4.5,100
ATT-000017,EMP-0023,2025-01,1/1/2025,22,22,0,0,0,0,0,0,6,0,0,100
ATT-000018,EMP-0024,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,0,0,100
ATT-000019,EMP-0025,2025-01,1/1/2025,22,22,0,0,0,0,0,0,5,2,0,100
ATT-000020,EMP-0026,2025-01,1/1/2025,22,22,0,0,0,0,0,0,1,0,9.5,100
ATT-000021,EMP-0027,2025-01,1/1/2025,22,21,0,1,0,0,0,1,0,0,22.5,95.45
