payroll_id,employee_id,pay_period,pay_date,basic_salary_sar,housing_allowance_sar,transport_allowance_sar,other_allowances_sar,overtime_hours,overtime_pay_sar,gross_pay_sar,gosi_employee_sar,gosi_employer_sar,absence_deduction_sar,loan_deduction_sar,other_deductions_sar,total_deductions_sar,net_pay_sar,payment_method,currency
PAY-000001,EMP-0001,2025-01,27-01-2025,35400,8850,1200,0,0,0,45450,4314.38,5199.38,0,0,210,4524.38,40925.62,Bank Transfer,SAR
PAY-000002,EMP-0003,2025-01,27-01-2025,8700,2175,870,0,2.5,135.94,11880.94,0,217.5,0,0,0,0,11880.94,Bank Transfer,SAR
PAY-000003,EMP-0005,2025-01,27-01-2025,3450,863,345,0,0,0,4658,0,86.26,0,0,0,0,4658,Bank Transfer,SAR
PAY-000004,EMP-0006,2025-01,27-01-2025,3200,800,320,0,0,0,4320,390,470,0,0,0,390,3930,Bank Transfer,SAR
PAY-000005,EMP-0008,2025-01,27-01-2025,4650,1163,465,0,20.5,595.78,6873.78,566.77,683.03,0,0,0,566.77,6307.01,Bank Transfer,SAR
PAY-000006,EMP-0009,2025-01,27-01-2025,3800,950,380,0,25.5,605.63,5735.63,463.13,558.13,0,1950,0,2413.13,3322.5,Bank Transfer,SAR
PAY-000007,EMP-0010,2025-01,27-01-2025,29350,7338,1200,1800,0,0,39688,3577.08,4310.84,0,1350,0,4927.08,34760.92,Bank Transfer,SAR
PAY-000008,EMP-0014,2025-01,27-01-2025,9500,2375,950,0,0,0,12825,1157.81,1395.31,0,0,0,1157.81,11667.19,Bank Transfer,SAR
PAY-000009,EMP-0015,2025-01,27-01-2025,8000,2000,800,0,23,1150,11950,975,1175,0,0,0,975,10975,Bank Transfer,SAR
PAY-000010,EMP-0016,2025-01,27-01-2025,8850,2213,885,0,0,0,11948,0,221.26,0,0,0,0,11948,Bank Transfer,SAR
PAY-000011,EMP-0017,2025-01,27-01-2025,6600,1650,660,0,18.5,763.13,9673.13,0,165,594,0,0,594,9079.13,Bank Transfer,SAR
PAY-000012,EMP-0018,2025-01,27-01-2025,3350,838,335,700,0,0,5223,408.33,492.09,0,0,0,408.33,4814.67,Bank Transfer,SAR
PAY-000013,EMP-0019,2025-01,27-01-2025,4700,1175,470,1650,0,0,7995,572.81,690.31,0,0,0,572.81,7422.19,Bank Transfer,SAR
PAY-000014,EMP-0020,2025-01,27-01-2025,11450,2863,1145,0,11.5,822.97,16280.97,0,286.26,0,0,0,0,16280.97,Bank Transfer,SAR
PAY-000015,EMP-0021,2025-01,27-01-2025,8800,2200,880,0,23.5,1292.5,13172.5,1072.5,1292.5,0,0,0,1072.5,12100,Bank Transfer,SAR
PAY-000016,EMP-0022,2025-01,27-01-2025,11500,2875,1150,0,4.5,323.44,15848.44,1401.56,1689.06,0,0,0,1401.56,14446.88,Cheque,SAR
PAY-000017,EMP-0023,2025-01,27-01-2025,3400,850,340,1400,0,0,5990,0,85,0,0,0,0,5990,Bank Transfer,SAR
PAY-000018,EMP-0024,2025-01,27-01-2025,23700,5925,1200,0,0,0,30825,2888.44,3480.94,0,0,280,3168.44,27656.56,Bank Transfer,SAR
PAY-000019,EMP-0025,2025-01,27-01-2025,6000,1500,600,1700,0,0,9800,0,150,0,0,0,0,9800,Bank Transfer,SAR
PAY-000020,EMP-0026,2025-01,27-01-2025,3300,825,330,0,9.5,195.94,4650.94,402.19,484.69,0,0,0,402.19,4248.75,Bank Transfer,SAR
PAY-000021,EMP-0027,2025-01,27-01-2025,3350,838,335,0,22.5,471.09,4994.09,0,83.76,0,0,0,0,4994.09,Bank Transfer,SAR
PAY-000022,EMP-0028,2025-01,27-01-2025,9000,2250,900,1400,25.5,1434.38,14984.38,0,225,0,0,0,0,14984.38,WPS Transfer,SAR
PAY-000023,EMP-0029,2025-01,27-01-2025,3550,888,355,1750,17.5,388.28,6931.28,432.71,521.46,0,350,0,782.71,6148.57,Bank Transfer,SAR
PAY-000024,EMP-0030,2025-01,27-01-2025,4550,1138,455,0,14,398.13,6541.13,554.58,668.34,0,0,0,554.58,5986.55,Bank Transfer,SAR
PAY-000025,EMP-0031,2025-01,27-01-2025,3800,950,380,0,10.5,249.38,5379.38,463.13,558.13,0,0,0,463.13,4916.25,Bank Transfer,SAR
PAY-000026,EMP-0032,2025-01,27-01-2025,12650,3163,1200,0,2.5,197.66,17210.66,0,316.26,0,0,0,0,17210.66,Bank Transfer,SAR
PAY-000027,EMP-0034,2025-01,27-01-2025,11650,2913,1165,650,12,873.75,17251.75,0,291.26,0,0,0,0,17251.75,Bank Transfer,SAR
PAY-000028,EMP-0035,2025-01,27-01-2025,7300,1825,730,0,0,0,9855,0,182.5,328.5,0,0,328.5,9526.5,Bank Transfer,SAR
PAY-000029,EMP-0036,2025-01,27-01-2025,6950,1738,695,0,0,0,9383,847.08,1020.84,0,0,0,847.08,8535.92,Bank Transfer,SAR
PAY-000030,EMP-0037,2025-01,27-01-2025,3550,888,355,0,18,399.38,5192.38,0,88.76,0,0,230,230,4962.38,Bank Transfer,SAR
PAY-000031,EMP-0038,2025-01,27-01-2025,4400,1100,440,0,0,0,5940,0,110,0,0,0,0,5940,Bank Transfer,SAR
PAY-000032,EMP-0039,2025-01,27-01-2025,7100,1775,710,1450,21.5,954.06,11989.06,865.31,1042.81,0,0,0,865.31,11123.75,Bank Transfer,SAR
PAY-000033,EMP-0040,2025-01,27-01-2025,30000,7500,1200,0,0,0,38700,0,750,0,0,0,0,38700,Bank Transfer,SAR
PAY-000034,EMP-0041,2025-01,27-01-2025,9050,2263,905,0,5.5,311.09,12529.09,1103.02,1329.28,0,0,0,1103.02,11426.07,Bank Transfer,SAR
PAY-000035,EMP-0042,2025-01,27-01-2025,4550,1138,455,0,6,170.63,6313.63,0,113.76,0,0,0,0,6313.63,Bank Transfer,SAR
PAY-000036,EMP-0043,2025-01,27-01-2025,4450,1113,445,0,0,0,6008,0,111.26,0,0,0,0,6008,Bank Transfer,SAR
PAY-000037,EMP-0044,2025-01,27-01-2025,7600,1900,760,0,18.5,878.75,11138.75,0,190,0,0,0,0,11138.75,Bank Transfer,SAR
PAY-000038,EMP-0045,2025-01,27-01-2025,6100,1525,610,0,15.5,590.94,8825.94,0,152.5,0,0,0,0,8825.94,Bank Transfer,SAR
PAY-000039,EMP-0046,2025-01,27-01-2025,3450,863,345,0,8,172.5,4830.5,0,86.26,310.53,0,0,310.53,4519.97,Bank Transfer,SAR
PAY-000040,EMP-0047,2025-01,27-01-2025,8350,2088,835,0,21,1095.94,12368.94,1017.71,1226.46,0,0,0,1017.71,11351.23,Bank Transfer,SAR
PAY-000041,EMP-0048,2025-01,27-01-2025,21750,5438,1200,0,0,0,28388,2650.83,3194.59,0,0,0,2650.83,25737.17,Bank Transfer,SAR
PAY-000042,EMP-0049,2025-01,27-01-2025,4100,1025,410,0,0,0,5535,499.69,602.19,0,0,0,499.69,5035.31,Bank Transfer,SAR
PAY-000043,EMP-0050,2025-01,27-01-2025,3250,813,325,0,14.5,294.53,4682.53,0,81.26,585.07,0,0,585.07,4097.46,Bank Transfer,SAR
PAY-000044,EMP-0051,2025-01,27-01-2025,7700,1925,770,0,23.5,1130.94,11525.94,0,192.5,0,0,0,0,11525.94,Bank Transfer,SAR
PAY-000045,EMP-0052,2025-01,27-01-2025,4700,1175,470,0,5,146.88,6491.88,572.81,690.31,0,0,0,572.81,5919.07,Bank Transfer,SAR
PAY-000046,EMP-0053,2025-01,27-01-2025,4100,1025,410,0,12,307.5,5842.5,499.69,602.19,0,0,0,499.69,5342.81,Bank Transfer,SAR
PAY-000047,EMP-0055,2025-01,27-01-2025,4250,1063,425,500,16.5,438.28,6676.28,0,106.26,0,0,0,0,6676.28,Bank Transfer,SAR
PAY-000048,EMP-0056,2025-01,27-01-2025,4650,1163,465,1400,3,87.19,7765.19,566.77,683.03,0,800,0,1366.77,6398.42,Bank Transfer,SAR
